

Fri Nov 13 17:06:40 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 Fri Nov 13 22:52:13 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:53:15 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:54:15 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:55:16 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:56:17 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:57:19 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:58:19 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:59:20 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:00:29 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:01:22 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:02:23 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:03:24 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:04:25 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:05:26 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:06:27 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:07:28 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:08:30 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:09:30 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:10:31 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:11:32 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:12:33 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:13:34 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:14:36 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:15:45 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:16:37 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:17:38 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:18:40 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:19:40 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:20:41 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 23:21:42 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
